title,url,seendate,domain,NM_count,MO_count,ID_count,ND_count,SC_count,OH_count,ALL_RELEV_count,PA_count,AL_count,FL_count,IA_count,OR_count,NH_count,VA_count,AZ_count,KY_count,CT_count,USA_count,MI_count,KS_count,VT_count,RI_count,CA_count,ME_count,OK_count,IN_count,MS_count,NV_count,MT_count,TN_count,TX_count,GA_count,UT_count,HI_count,NE_count,MN_count,WI_count,CO_count,IL_count,WV_count,LA_count,AK_count,DE_count,NY_count,MD_count,WY_count,NC_count,SD_count,MA_count,NJ_count
Exposed Emails Show School Principal Scheming to Silence  Wacko  Parents After they Reject CRT Curriculum,https://redstate.com/brandon_morse/2021/05/27/exposed-emails-show-school-principle-scheming-to-silence-wacko-parents-after-they-reject-crt-curriculum-n387342,20210527T170000Z,redstate.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gov . Kristi Noem Pushes South Dakota Colleges to Ban Critical Race Theory,https://www.theepochtimes.com/gov-kristi-noem-pushes-south-dakota-colleges-to-ban-critical-race-theory_3833328.html,20210527T171500Z,theepochtimes.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Push Against Teaching Critical Race Theory in Schools is Growing | News Radio 101 . 9 Big WAAX,https://1019bigwaax.iheart.com/featured/alabama-s-morning-news-with-jt/content/2021-05-27-the-push-against-teaching-critical-race-theory-in-schools-is-growing/,20210527T174500Z,1019bigwaax.iheart.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hill left a pretty important detail out of their breathless headline about Chip and Joanna Gaines donating to anti - CRT school board candidate,https://twitchy.com/sarahd-313035/2021/05/27/the-hill-left-a-pretty-important-detail-out-of-their-breathless-headline-about-chip-and-joanna-gaines-donating-to-anti-crt-school-board-candidate/,20210527T183000Z,twitchy.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Historian says right - wing attacks on Critical Race Theory prove its value,https://peoplesworld.org/article/historian-says-right-wing-attacks-on-critical-race-theory-prove-its-value/,20210527T190000Z,peoplesworld.org,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PolitiFact  hack buried in bipartisan backlash for attempt to discredit  conservative  opponents of critical race theory,https://www.bizpacreview.com/2021/05/27/politifact-hacks-buried-in-bipartisan-backlash-for-attempt-to-discredit-conservative-opponents-of-critical-race-theory-1080006/,20210527T194500Z,bizpacreview.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana A . G . bans critical race theory programs,https://onenewsnow.com/ap/legal/montana-ag-bans-critical-race-theory-programs,20210527T200000Z,onenewsnow.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee Bans Teaching of Critical Race Theory By State Educators,https://www.cnsnews.com/index.php/article/national/julia-johnson/tennessee-bans-teaching-critical-race-theory-state-educators,20210527T201500Z,cnsnews.com,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Daily Dish : Chicago Racist Mayor , Dont California My Texas , Best Critical Race Theory Response and more – Ricochet",https://ricochet.com/podcast/mock-and-daisy/daily-dish-chicago-racist-mayor-dont-california-my-texas-best-critical-race-theory-response-and-more/,20210527T210000Z,ricochet.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana AG : Critical Race Theory Violates Discrimination Laws,https://kmmsam.com/montana-ag-critical-race-theory-violates-discrimination-laws/,20210527T210000Z,kmmsam.com,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
