date,CRT_relevant,trans_relevant
11/17/22,0.01,0.01
11/18/22,0,0
11/19/22,0,0.009803922
11/20/22,0,0
11/21/22,0.04,0
11/22/22,0,0.010309278350515464
11/23/22,0.009803922,0
11/24/22,0,0.019417475728155338
11/25/22,0.010869565217391304,0.010869565217391304
11/26/22,0.019417475728155338,0
11/27/22,0,0
11/28/22,0.030303030303030304,0
11/29/22,0.00952381,0
11/30/22,0,0
12/1/22,0,0
12/2/22,0,0
12/3/22,0.010416666666666666,0
12/4/22,0,0
12/5/22,0,0
12/6/22,0,0
12/7/22,0,0
12/8/22,0,0
12/9/22,0,0.014492753623188406
12/10/22,0,0
12/11/22,0,0
12/12/22,0,0
12/13/22,0,0
12/14/22,0,0.009803922
12/15/22,0.009708738,0
12/16/22,0,0.010752688172043012
12/17/22,0,0.027272727
12/18/22,0.010638297872340425,0.031914893617021274
12/19/22,0.010204082,0.030612244897959183
12/20/22,0,0.009803922
12/21/22,0.01,0
12/22/22,0.038461538461538464,0.009615385
12/23/22,0.019417475728155338,0.009708738
12/24/22,0,0
12/25/22,0.010416666666666666,0
12/26/22,0.01,0
12/27/22,0.00990099,0.019801980198019802
12/28/22,0,0.009803922
12/29/22,0,0.010309278350515464
12/30/22,0,0.018867924528301886
12/31/22,0,0.18947368421052632
1/1/23,0,0
