headline,cluster_label
"Weve Seen This Movie Before : Just Like Freud Psychoanalysis , Critical Race Theory Will Ultimately Collapse",39
Pres . Trump Executive Order Banning Critical Race Theory Doctrine Will Rock Universities Across the Country,42
Trump Directive on Critical Race Theory Affirms Martin Luther King Jr . Vision,78
"Trump Strikes a Second , Massive Blow Against Critical Race Theory",56
Trump Bans Companies That Use  Critical Race Theory  From Getting Govt . Contracts,44
Trump Expands Fight Against Critical Race Theory to Federal Contractors,56
 # DELETED : Critical Race Theory Dominates Big Tech,39
The unbiblical theory of critical race,0
Trump Strikes A Second Major Blow Against  Critical Race Theory  ,0
"Trump Exec Order on  A New Nation , Unique Among Countries of the World  vs . Critical Race Theory",0
"Critical race theory and Trump executive order on diversity training , explained",16
Donald Trump Says Critical Race Theory is  Like a Cancer  ,39
Legal Theory Blog : Savage on the Religion of Race & the Supreme Court,96
Critical Race Theory Activists Destroying STEM High School,11
White Pill at the Right Time : Trump Expands Ban on Anti - White Critical Race Theory to Federal Contractors ( As Well as Executive Branch Agencies ) | Blog Posts,54
"THE REGULARS : Troubling critical race theory surfaces in education , government",59
"CRT official discusses new Census deadline , response from AG Tong",28
Maher : Truth Has to Be  in the Middle  Between Critical Race Theory Saying  Racism Is Everything and Everywhere  and Denying Racism,19
What Republicans Must Do To Get Critical Race Theory Out Of Schools,61
Critical Race Theory Is Divisive And Discriminatory,0
Graduate Studies announces 2020 - 2021 Critical Race Scholars,96
Critical Race Theory and the Decline of American Justice,0
Critical Race Theory Could Lead Humanity To Annihilation,0
Loudoun County Schools Spend Hundreds of Thousands on Critical Race Theory,29
The war on critical race theory indoctrination is worth winning -- Society Child -- Sott . net,59
Critical Race Theory Is A Classic Communist Divide - And - Conquer Tactic,68
Critical Race Theory Is a Poisonous Communist Tactic,68
"Chris Wallace redefines  critical race theory  calls it  racial sensitivity training , instead",39
Q & A of the Day – Is Critical Race Theory being taught in Florida Schools ? ,55
Trump Administration Ends  Critical Race Theory  Trainings in Move Backed by Heritage Scholars,16
Q & A – Is Critical Race Theory Being Taught In Florida Schools ? ,29
Experts debate how Trump order restricting critical race theory funding will affect higher education,16
Critical race theory infiltrated California schools,11
"Fairfax , Va . School District Spent $24 , 000 On Promoting Critical Race Theorist Ibram Kendi Books For U . S . History Classes",29
Understanding critical race theory : What it is -- and isnt,90
Virginia school district proposal would penalize teachers who criticize critical race theory,7
"Tucker Blasts Biden : Critical Race Theory Is  Racial Supremacy , Not  Sensitivity  ",89
Shakespeare spoof brings actors back to Palm Coast stage at CRT,31
Bokhari : Critical Race Theorists Control the Big Tech Algorithms that Control Us,0
"Flashcards for critical race theory , easy , quick learning",0
The truth about critical race theory -- Society Child -- Sott . net,77
"Critical Race Theory , and the Poisoning of Society",0
Neo - Marxist  Critical Race Theory  Stokes Toxic Division,68
"No , Critical Race Theory Isnt  Anti - American  ",39
The Truth About Critical Race Theory,0
Trump Calls Critical Race Theory  Un - American . Let Review | History News Network,93
The Truth About Critical Race Theory - American Renaissance,0
Keller  dead wrong  on Critical Race Theory : critics,19
"Pete Flores , Roland Gutierrez square off in critical District 19 Texas Senate race",33
D . C .- area school district backtracks on punishing teachers for criticizing critical race theory,2
  Men On Boat by CRT - A Review,31
"Math Association Say Math  Inherently Carries Human Biases , Citing Critical Race Theory",39
Mathematical Association : Critical Race Theory Necessary to Fight  Human Biase in Math,0
The intrusion of critical race theory into medicine and public health threatens the well - being of all Americans --- especially nonwhites,19
More Va . Schools Using Kids As Guinea Pigs For Critical Race Theory,11
The Civil Rights Legend Who Opposed Critical Race Theory,0
Jarret Stepman : What Really Behind Critical Race Theory,0
The civil rights legend who opposed critical race theory -- Society Child -- Sott . net,77
"Yes , Critical Race Theory Is Actually Making People More Racist",39
"Kemi Badenoch , British Equalities Minister , denounces Black Lives Matter and Critical Race Theory",18
UK Minister : Teaching White Privilege And Critical Race Theory In Schools Is Illegal,2
Critical Race Theory Permeates New Student Survey In Fairfax Public Schools,11
UK Minister Torches BLM & Critical Race Theory In Now Viral Speech | NewsRadio 740 KTRH,93
"Democrat Colin Allred , Republican Genevieve Collins tout bipartisanship in critical District 32 race for Congress",53
Carol Swain Tells Nashville Crowd That Critical Race Theory Is Unacceptable,4
Trump blasts  critical race theory  but is America most dangerous critical theorist,39
Critical race theory as a covert assailant to the church,76
Trump and Critical Race Theory – JAMES EDWARDS,0
There a Federalized E90 BMW M3 CRT for Sale in the U . S . ,3
"Swing state : Michigan voters critical to presidential , US Senate race outcomes",22
"1 Of 67 BMW M3 CRT Is For Sale In New York After Owner Spent $40 , 000 To Federalize It In The united states ",21
"Baptist Seminary head downplays risk of socialism , Critical Race Theory & Intersectionality",68
Trump Is Attacking Critical Race Theory Because It Is a Force for Liberation,39
Critical race theory comes to church and my children Catholic schools – Catholic World Report,76
"Higher education groups ask Biden to reverse Trump orders on Title IX reform , critical race theory",89
Brave British Politician Stands Against Critical Race Theory,0
"Critical Race Theory : Fighting Racism , or Racism Masquerading as Remedy ? – Ricochet",68
Brave British Politician Stands Against Critical Race Theory | PowerTalk 1460 AM & 101 . 1 FM,0
Meeting the moment : 20 years of Critical Race Studies at UCLA School of Law,96
Critical Race Theory : A Ruling - Class Ideology,68
John Piper : Christians Critical Race Theory makes god of self,76
"  Woke  Kentucky mayor is slammed for trying to pull $120 , 000 from an emergency rental fund to pay for  critical race theory  training for city employees",75
"Critical race theory creates  rage , Georgetown professor warns",39
Kentucky Mayor Trying to Move Emergency Aid Funds to CRT Training,1
"Kentucky Mayor Is Slammed for Trying to Pull $120 , 000 from an Emergency Rental Fund to Pay for  Critical Race Theory  Training",75
Southern Baptist seminary presidents nix critical race theory,0
"Quotation of the day on wokeness , structural racism , and critical race theory …. | American Enterprise Institute",18
This is your BRAIN on critical race theory – > Headline from The Root about straight black men is straight - up racist AF – twitchy . com,19
Baptist seminary presidents reject Critical Race Theory,42
All Six Southern Baptist Seminary Presidents Have Released a Joint Statement Condemning Critical Race Theory,42
SBC seminary presidents denounce Critical Race Theory,42
"With Biden , Critical Race Theory may return to the White House",66
Southern Baptists Keep Quarreling Over Critical Race Theor ...... | News & Reporting,76
"Japan Cardiac Rhythm Management Devices Market Outlook to 2025 - Cardiac Resynchronisation Therapy ( CRT ), Implantable Cardioverter Defibrillators ( ICD ), Implantable Loop Recorders ( ILR ) and Pacemakers",80
"Russia Cardiac Rhythm Management Devices Market Outlook to 2025 - Cardiac Resynchronisation Therapy ( CRT ), Implantable Cardioverter Defibrillators ( ICD ), Implantable Loop Recorders ( ILR ) and Pacemakers",80
"Spain Cardiac Rhythm Management Devices Market Outlook to 2025 - Cardiac Resynchronisation Therapy ( CRT ), Implantable Cardioverter Defibrillators ( ICD ), Implantable Loop Recorders ( ILR ) and Pacemakers",80
SBC statement on CRT branded  anti - intellectual  ,31
Feeling Guilty About Everything ? Thank Critical Race Theory,19
"Critical Race Theory , the Culprit Behind the  Summer of Hate  ",0
"Divisive  critical race theory  infiltrating private biz and public schools , has Marxist roots : report",11
Parents advised to organize against CRT curricula now,73
Douglas Andrews : The Virus of Critical Race Theory The Patriot Post,0
PODCAST : 12 . 10 – Teaching Critical Race Theory in Public Schools,7
Critical Race Theory : As  Pseudo  as Pseudoscience Gets By Allen Gindler,39
Critical Race Theory : As  Pseudo  as Pseudoscience Gets,90
Black Southern Baptists weigh in on critical race theory critique by officials,76
Critical Race Theory is unbiblical say SBC seminary presidents – Episcopal Cafe,0
CRT saves man life after he has OD in their lobby,31
Critical Race Theory Just Locked Down Another Contract in Virginia Public Schools,42
SBC seminary presidents spur debate after denouncing critical race theory,42
Dems Say Trump  Critical Race Theory  Ban Ended Most Federal Diversity Training,42
OMB Director Russ Vought on Bolstering the U . S . Navy and Defunding Critical Race Theory Trainings,89
"Ralph D . West , Houston pastor , cuts ties to Southern Baptists over critical race theory rejection",76
VIRTUAL EVENT : The New Intolerance : Critical Race Theory and Its Grip on America,93
Critical Race Theory Does Not Stay on College Campuses,29
"SBC wants to scrap CRT resolution , Dwight McKissic says",31
